SKU,Category,Avg_Lead_Time,Current_Avg_Inventory,Total_Revenue,Cumulative_Revenue_Pct,ABC_Class,Avg_Daily_Demand,Demand_StdDev,Safety_Stock,Reorder_Point_ROP
SKU_H302,Home Office,9.0,38.111491108071135,6967899.96,10.88,A-Class (High Value),26.151846785225718,6.850271968087625,34.0,269.0
SKU_A205,Appliances,18.0,39.303693570451436,6214888.13,20.58,A-Class (High Value),25.956224350205197,7.1134253910077465,50.0,517.0
SKU_E102,Electronics,14.0,38.31463748290014,5914266.53,29.81,A-Class (High Value),26.143638850889193,6.974505228256822,43.0,409.0
SKU_H305,Home Office,9.0,37.92954856361149,5470267.4,38.35,A-Class (High Value),26.251709986320108,6.9935082777419595,35.0,271.0
SKU_A201,Appliances,16.0,38.909712722298224,5443439.02,46.84,A-Class (High Value),26.019151846785224,7.1830977285765,47.0,463.0
SKU_H301,Home Office,11.0,39.0608755129959,5082059.76,54.78,A-Class (High Value),26.214774281805745,7.219957162032488,40.0,328.0
SKU_C404,Accessories,10.0,39.223666210670316,4553686.81,61.88,A-Class (High Value),26.15047879616963,7.235703649589771,38.0,300.0
SKU_A204,Appliances,16.0,39.87004103967168,3945257.28,68.04,A-Class (High Value),26.298221614227085,7.111536805580159,47.0,468.0
SKU_H303,Home Office,11.0,39.08413132694938,3912566.08,74.15,A-Class (High Value),25.756497948016417,7.292016335649513,40.0,323.0
SKU_E101,Electronics,15.0,38.386456908344734,3442889.65,79.52,A-Class (High Value),25.83310533515732,7.178892085590966,46.0,433.0
SKU_E104,Electronics,7.0,40.397400820793436,2270274.52,83.07,B-Class (Moderate Value),25.57045143638851,6.772741674973733,30.0,209.0
SKU_C405,Accessories,17.0,39.134746922024625,1881146.78,86.0,B-Class (Moderate Value),26.071135430916552,7.225364469888649,49.0,492.0
SKU_C401,Accessories,16.0,38.83036935704514,1790323.02,88.8,B-Class (Moderate Value),26.236662106703147,7.294777401426087,48.0,468.0
SKU_C403,Accessories,6.0,38.61969904240766,1529320.34,91.18,B-Class (Moderate Value),26.046511627906977,7.098757232991338,29.0,185.0
SKU_A202,Appliances,10.0,39.02804377564979,1512059.11,93.54,B-Class (Moderate Value),25.560875512995896,7.3120318409718275,38.0,294.0
SKU_C402,Accessories,19.0,38.85841313269494,1283315.62,95.55,C-Class (Low Value),26.77701778385773,7.401652342252623,53.0,562.0
SKU_E103,Electronics,12.0,37.37277701778386,1202141.79,97.42,C-Class (Low Value),25.448700410396718,6.661566958017501,38.0,343.0
SKU_E105,Electronics,16.0,39.40424076607387,667158.7,98.46,C-Class (Low Value),25.841313269493845,6.876164144452475,45.0,458.0
SKU_H304,Home Office,18.0,37.475376196990425,598759.9,99.4,C-Class (Low Value),25.718194254445965,7.0433051877433925,49.0,512.0
SKU_A203,Appliances,15.0,39.722298221614224,385300.72,100.0,C-Class (Low Value),25.75923392612859,7.027697178415204,45.0,431.0
