Date,SKU,Category,Actual_Units,Total_Revenue,Total_Cost,Gross_Margin,Forecast_Units,Historical_Days_Count,Absolute_Error
2024-01-01,SKU_A201,Appliances,19,5596.64,4475.64,1121.0,,0,
2024-01-02,SKU_A201,Appliances,24,6450.92,5653.44,797.48,,1,
2024-01-03,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,,2,
2024-01-04,SKU_A201,Appliances,24,7069.44,5653.44,1416.0,,3,
2024-01-05,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,,4,
2024-01-06,SKU_A201,Appliances,22,6480.32,5182.32,1298.0,,5,
2024-01-07,SKU_A201,Appliances,20,5891.2,4711.2,1180.0,,6,
2024-01-08,SKU_A201,Appliances,22,6480.32,5182.32,1298.0,,7,
2024-01-09,SKU_A201,Appliances,26,7658.56,6124.56,1534.0,,8,
2024-01-10,SKU_A201,Appliances,16,4712.96,3768.96,944.0,,9,
2024-01-11,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,,10,
2024-01-12,SKU_A201,Appliances,31,9131.36,7302.36,1829.0,,11,
2024-01-13,SKU_A201,Appliances,39,10560.06,9186.84,1373.22,,12,
2024-01-14,SKU_A201,Appliances,33,8527.62,7773.48,754.14,,13,
2024-01-15,SKU_A201,Appliances,29,7747.0,6831.24,915.76,,14,
2024-01-16,SKU_A201,Appliances,22,6480.32,5182.32,1298.0,,15,
2024-01-17,SKU_A201,Appliances,23,6774.88,5417.88,1357.0,,16,
2024-01-18,SKU_A201,Appliances,23,6774.88,5417.88,1357.0,,17,
2024-01-19,SKU_A201,Appliances,27,7953.12,6360.12,1593.0,,18,
2024-01-20,SKU_A201,Appliances,20,5493.58,4711.2,782.38,,19,
2024-01-21,SKU_A201,Appliances,28,8247.68,6595.68,1652.0,,20,
2024-01-22,SKU_A201,Appliances,18,5302.08,4240.08,1062.0,,21,
2024-01-23,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,,22,
2024-01-24,SKU_A201,Appliances,21,6185.76,4946.76,1239.0,,23,
2024-01-25,SKU_A201,Appliances,29,8542.24,6831.24,1711.0,,24,
2024-01-26,SKU_A201,Appliances,24,7069.44,5653.44,1416.0,,25,
2024-01-27,SKU_A201,Appliances,36,10604.16,8480.16,2124.0,,26,
2024-01-28,SKU_A201,Appliances,22,6480.32,5182.32,1298.0,,27,
2024-01-29,SKU_A201,Appliances,27,7953.12,6360.12,1593.0,,28,
2024-01-30,SKU_A201,Appliances,32,8453.96,7537.92,916.04,,29,
2024-01-31,SKU_A201,Appliances,24,7069.44,5653.44,1416.0,24.9,30,0.8999999999999986
2024-02-01,SKU_A201,Appliances,23,6774.88,5417.88,1357.0,24.87,31,1.870000000000001
2024-02-02,SKU_A201,Appliances,17,5007.52,4004.52,1003.0,24.81,32,7.809999999999999
2024-02-03,SKU_A201,Appliances,39,9764.82,9186.84,577.98,24.58,33,14.420000000000002
2024-02-04,SKU_A201,Appliances,28,7540.8,6595.68,945.12,25.0,34,3.0
2024-02-05,SKU_A201,Appliances,17,4521.54,4004.52,517.02,25.09,35,8.09
2024-02-06,SKU_A201,Appliances,36,10604.16,8480.16,2124.0,24.86,36,11.14
2024-02-07,SKU_A201,Appliances,21,6185.76,4946.76,1239.0,25.16,37,4.16
2024-02-08,SKU_A201,Appliances,28,8247.68,6595.68,1652.0,25.05,38,2.9499999999999993
2024-02-09,SKU_A201,Appliances,33,9720.48,7773.48,1947.0,25.13,39,7.870000000000001
2024-02-10,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,25.32,40,0.3200000000000003
2024-02-11,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,25.32,41,0.3200000000000003
2024-02-12,SKU_A201,Appliances,24,7069.44,5653.44,1416.0,25.31,42,1.3099999999999987
2024-02-13,SKU_A201,Appliances,31,9131.36,7302.36,1829.0,25.28,43,5.719999999999999
2024-02-14,SKU_A201,Appliances,15,4418.4,3533.4,885.0,25.41,44,10.41
2024-02-15,SKU_A201,Appliances,26,6951.68,6124.56,827.12,25.18,45,0.8200000000000003
2024-02-16,SKU_A201,Appliances,18,5302.08,4240.08,1062.0,25.2,46,7.199999999999999
2024-02-17,SKU_A201,Appliances,20,5272.68,4711.2,561.48,25.04,47,5.039999999999999
2024-02-18,SKU_A201,Appliances,18,5302.08,4240.08,1062.0,24.94,48,6.940000000000001
2024-02-19,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,24.8,49,0.1999999999999993
2024-02-20,SKU_A201,Appliances,28,8247.68,6595.68,1652.0,24.8,50,3.1999999999999993
2024-02-21,SKU_A201,Appliances,41,10265.58,9657.96,607.62,24.86,51,16.14
2024-02-22,SKU_A201,Appliances,22,6480.32,5182.32,1298.0,25.17,52,3.1700000000000017
2024-02-23,SKU_A201,Appliances,30,8218.28,7066.8,1151.48,25.11,53,4.890000000000001
2024-02-24,SKU_A201,Appliances,26,7658.56,6124.56,1534.0,25.2,54,0.8000000000000007
2024-02-25,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,25.22,55,0.21999999999999886
2024-02-26,SKU_A201,Appliances,25,7364.0,5889.0,1475.0,25.21,56,0.21000000000000085
2024-02-27,SKU_A201,Appliances,19,5596.64,4475.64,1121.0,25.21,57,6.210000000000001
2024-02-28,SKU_A201,Appliances,24,7069.44,5653.44,1416.0,25.1,58,1.1000000000000014
2024-02-29,SKU_A201,Appliances,16,4712.96,3768.96,944.0,25.08,59,9.079999999999998
2024-03-01,SKU_A201,Appliances,18,5302.08,4240.08,1062.0,24.93,60,6.93
2024-03-02,SKU_A201,Appliances,35,10309.6,8244.6,2065.0,24.82,61,10.18
2024-03-03,SKU_A201,Appliances,22,6480.32,5182.32,1298.0,24.98,62,2.9800000000000004
2024-03-04,SKU_A201,Appliances,18,5302.08,4240.08,1062.0,24.94,63,6.940000000000001
2024-03-05,SKU_A201,Appliances,26,6907.5,6124.56,782.94,24.83,64,1.1700000000000017
2024-03-06,SKU_A201,Appliances,22,6480.32,5182.32,1298.0,24.85,65,2.8500000000000014
2024-03-07,SKU_A201,Appliances,30,8836.8,7066.8,1770.0,24.8,66,5.199999999999999
2024-03-08,SKU_A201,Appliances,28,7010.64,6595.68,414.96,24.88,67,3.120000000000001
2024-03-09,SKU_A201,Appliances,19,5596.64,4475.64,1121.0,24.93,68,5.93
2024-03-10,SKU_A201,Appliances,18,5302.08,4240.08,1062.0,24.84,69,6.84
2024-03-11,SKU_A201,Appliances,23,6774.88,5417.88,1357.0,24.74,70,1.7399999999999984
2024-03-12,SKU_A201,Appliances,26,7658.56,6124.56,1534.0,24.72,71,1.2800000000000011
2024-03-13,SKU_A201,Appliances,26,7084.22,6124.56,959.66,24.74,72,1.2600000000000016
2024-03-14,SKU_A201,Appliances,29,8542.24,6831.24,1711.0,24.75,73,4.25
