Category,Is_Promotion,Is_Bundle,Total_Days,Total_Units_Sold,Avg_Daily_Units,Total_Revenue,Avg_Daily_Revenue,Total_Gross_Margin,Avg_Daily_Margin,Gross_Margin_Pct
Accessories,1,1,399,10684,18.9,1090096.87,1929.37,215595.68,381.59,19.78
Accessories,1,0,399,8511,15.9,826042.47,1546.9,167585.81,313.83,20.29
Accessories,0,0,731,76772,12.4,9121653.23,1468.63,2929847.12,471.72,32.12
Appliances,1,1,396,9953,18.6,1680197.76,3146.44,195901.62,366.86,11.66
Appliances,1,0,401,8843,15.6,1457454.45,2575.01,175992.98,310.94,12.08
Appliances,0,0,731,75937,12.2,14363292.05,2312.93,3570382.78,574.94,24.86
Electronics,1,1,372,9222,17.9,1182496.56,2300.58,303163.58,589.81,25.64
Electronics,1,0,388,8131,15.5,1029070.0,1956.41,261166.83,496.51,25.38
Electronics,0,0,731,76827,12.3,11285164.63,1799.87,4116582.35,656.55,36.48
Home Office,1,1,390,10006,18.6,1999034.07,3715.68,367157.75,682.45,18.37
Home Office,1,0,412,8834,15.9,1821028.15,3281.13,341122.07,614.63,18.73
Home Office,0,0,731,76258,12.3,18211490.88,2929.31,5551418.64,892.94,30.48
