Date,Channel,SKU,Category,Unit_Cost,Unit_Price,Lead_Time_Days,Is_Promotion,Is_Bundle,Units_Sold,On_Hand_Inventory,Total_Revenue,Total_Cost,Gross_Margin
2024-01-01,eCommerce,SKU_E101,Electronics,103.02,159.4,15,1,1,9,57,1434.6000000000001,927.18,507.4200000000002
2024-01-01,Retail Store,SKU_E101,Electronics,103.02,187.53,15,0,0,11,46,2062.83,1133.22,929.6099999999999
2024-01-01,eCommerce,SKU_E102,Electronics,198.23,318.77,14,0,0,21,24,6694.17,4162.83,2531.34
2024-01-01,Retail Store,SKU_E102,Electronics,198.23,318.77,14,0,0,8,5,2550.16,1585.84,964.3199999999999
2024-01-01,eCommerce,SKU_E103,Electronics,51.66,66.37,12,0,0,8,7,530.96,413.28,117.68000000000006
2024-01-01,Retail Store,SKU_E103,Electronics,51.66,66.37,12,0,0,9,0,597.33,464.93999999999994,132.3900000000001
2024-01-01,eCommerce,SKU_E104,Electronics,93.42,106.07,7,1,1,17,10,1803.1899999999998,1588.14,215.04999999999973
2024-01-01,Retail Store,SKU_E104,Electronics,93.42,124.79,7,0,0,14,76,1747.0600000000002,1307.88,439.18000000000006
2024-01-01,eCommerce,SKU_E105,Electronics,19.84,30.89,16,1,0,5,0,154.45,99.2,55.249999999999986
2024-01-01,Retail Store,SKU_E105,Electronics,19.84,36.34,16,0,0,9,22,327.06000000000006,178.56,148.50000000000006
2024-01-01,eCommerce,SKU_A201,Appliances,235.56,294.56,16,0,0,11,70,3240.16,2591.16,649.0
2024-01-01,Retail Store,SKU_A201,Appliances,235.56,294.56,16,0,0,8,0,2356.48,1884.48,472.0
2024-01-01,eCommerce,SKU_A202,Appliances,58.1,70.75,10,1,0,14,26,990.5,813.4,177.10000000000002
2024-01-01,Retail Store,SKU_A202,Appliances,58.1,70.75,10,1,1,10,0,707.5,581.0,126.5
2024-01-01,eCommerce,SKU_A203,Appliances,16.66,21.06,15,0,0,9,57,189.54,149.94,39.599999999999994
2024-01-01,Retail Store,SKU_A203,Appliances,16.66,21.06,15,0,0,10,21,210.6,166.6,44.0
2024-01-01,eCommerce,SKU_A204,Appliances,158.79,211.77,16,0,0,11,44,2329.4700000000003,1746.6899999999998,582.7800000000004
2024-01-01,Retail Store,SKU_A204,Appliances,158.79,211.77,16,0,0,9,27,1905.93,1429.11,476.82000000000016
2024-01-01,eCommerce,SKU_A205,Appliances,243.83,338.85,18,0,0,14,48,4743.900000000001,3413.6200000000003,1330.2800000000002
2024-01-01,Retail Store,SKU_A205,Appliances,243.83,288.02,18,1,0,16,44,4608.32,3901.28,707.0399999999995
2024-01-01,eCommerce,SKU_H301,Home Office,199.52,273.3,11,0,0,13,45,3552.9,2593.76,959.1399999999999
2024-01-01,Retail Store,SKU_H301,Home Office,199.52,273.3,11,0,0,6,0,1639.8000000000002,1197.1200000000001,442.68000000000006
2024-01-01,eCommerce,SKU_H302,Home Office,246.06,376.48,9,0,0,11,61,4141.280000000001,2706.66,1434.6200000000008
2024-01-01,Retail Store,SKU_H302,Home Office,246.06,376.48,9,0,0,11,31,4141.280000000001,2706.66,1434.6200000000008
2024-01-01,eCommerce,SKU_H303,Home Office,157.77,213.36,11,0,0,13,2,2773.6800000000003,2051.01,722.6700000000001
2024-01-01,Retail Store,SKU_H303,Home Office,157.77,213.36,11,0,0,15,48,3200.4,2366.55,833.8499999999999
2024-01-01,eCommerce,SKU_H304,Home Office,18.12,32.89,18,0,0,14,57,460.46000000000004,253.68,206.78000000000003
2024-01-01,Retail Store,SKU_H304,Home Office,18.12,32.89,18,0,0,10,27,328.9,181.20000000000002,147.69999999999996
2024-01-01,eCommerce,SKU_H305,Home Office,204.97,293.68,9,0,0,12,3,3524.16,2459.64,1064.52
2024-01-01,Retail Store,SKU_H305,Home Office,204.97,293.68,9,0,0,17,3,4992.56,3484.49,1508.0700000000006
2024-01-01,eCommerce,SKU_C401,Accessories,69.26,96.59,16,0,0,6,0,579.54,415.56000000000006,163.9799999999999
2024-01-01,Retail Store,SKU_C401,Accessories,69.26,82.1,16,1,1,12,11,985.1999999999999,831.1200000000001,154.0799999999998
2024-01-01,eCommerce,SKU_C402,Accessories,43.68,67.58,19,0,0,15,64,1013.6999999999999,655.2,358.4999999999999
2024-01-01,Retail Store,SKU_C402,Accessories,43.68,57.44,19,1,1,22,71,1263.6799999999998,960.96,302.7199999999998
2024-01-01,eCommerce,SKU_C403,Accessories,55.74,82.75,6,0,0,12,72,993.0,668.88,324.12
2024-01-01,Retail Store,SKU_C403,Accessories,55.74,70.34,6,1,0,10,2,703.4000000000001,557.4,146.0000000000001
2024-01-01,eCommerce,SKU_C404,Accessories,170.69,245.29,10,0,0,14,66,3434.06,2389.66,1044.4
2024-01-01,Retail Store,SKU_C404,Accessories,170.69,245.29,10,0,0,13,21,3188.77,2218.97,969.8000000000002
2024-01-01,eCommerce,SKU_C405,Accessories,63.87,86.35,17,1,0,22,3,1899.6999999999998,1405.1399999999999,494.55999999999995
2024-01-01,Retail Store,SKU_C405,Accessories,63.87,101.59,17,0,0,13,60,1320.67,830.31,490.3600000000001
2024-01-02,eCommerce,SKU_E101,Electronics,103.02,187.53,15,0,0,12,56,2250.36,1236.24,1014.1200000000001
2024-01-02,Retail Store,SKU_E101,Electronics,103.02,187.53,15,0,0,11,17,2062.83,1133.22,929.6099999999999
2024-01-02,eCommerce,SKU_E102,Electronics,198.23,318.77,14,0,0,12,52,3825.24,2378.7599999999998,1446.48
2024-01-02,Retail Store,SKU_E102,Electronics,198.23,270.95,14,1,0,14,57,3793.2999999999997,2775.22,1018.0799999999999
